estado,municipio,Accesibilidad al espacio público abierto,Acceso a Internet,Acceso a agua mejorada,Aglomeración económica,CALIDAD DE VIDA,Calidad del aire,Capacidad institucional y ﬁnanzas municipales,Coeﬁciente de Gini,Concentraciones de material particulado,Concentración de CO2,Crecimiento económico,Densidad de la interconexión vial,Densidad de médicos,Densidad económica,Densidad poblacional,Densidad vial,Desempleo juvenil,Deuda subnacional,EQUIDAD E INCLUSIÓN SOCIAL,Educación,Empleo,Energía,Equidad económica,Espacio habitable suﬁciente,Espacio público,Esperanza de vida al nacer,Eﬁciencia del gasto local,Eﬁciencia en el uso de suelo,Fatalidades de tránsito,Forma urbana,GOBERNANZA Y LEGISLACIÓN URBANA,Gobernanza de la urbanización,INFRAESTRUCTURA DE DESARROLLO,Inclusión de género,Inclusión social,Infraestructura de comunicaciones,Infraestructura de vivienda,Infraestructura social,Inscripción equitativa en educación a nivel secundario,Longitud de transporte masivo,Manejo de residuos,Movilidad urbana,Número de estaciones de monitoreo,PRODUCTIVIDAD,Participación electoral,Participación y rendición de cuentas,Producto urbano per cápita,Promedio de años de escolaridad,Proporción de generación de energía renovable,Recaudación de ingresos propios,Recolección de residuos sólidos,Relación de dependencia de la tercera edad,Relación empleo-población,SOSTENIBILIDAD AMBIENTAL,Salud,Seguridad y protección,Superﬁcie destinada a vías,Tasa de alfabetización,Tasa de desempleo,Tasa de homicidios,Tasa de mortalidad de menores de 5 años,Tasa de pobreza,Tratamiento de aguas residuales,Velocidad de banda ancha promedio,Vivienda durable,Viviendas en barrios precarios,Áreas verdes per cápita
Chiapas,Ocosingo,59.37,2.96,77.44,45.8,64.29,23.04,24.04,30.69,0.0,46.08,35.65,100.0,30.36,45.8,12.71,63.0,68.15,0.0,60.85,47.61,40.17,0.0,23.15,100.0,79.68,64.79,72.13,100.0,100.0,69.09,59.13,100.0,58.04,89.66,69.74,28.53,62.23,30.36,89.66,,42.16,100.0,,40.54,53.36,53.36,0.0,23.14,0.0,0.0,42.16,71.3,14.27,32.6,65.26,64.61,44.26,72.08,66.08,64.61,65.73,15.6,0.0,54.1,58.79,71.33,100.0
Chiapas,Ocozocoautla de Espinosa,42.05,6.88,71.16,55.36,60.9,23.04,3.98,47.13,0.0,46.08,36.69,93.47,29.24,55.36,11.83,39.3,97.93,7.97,72.23,58.45,59.34,0.0,32.87,100.0,71.02,64.79,,72.53,100.0,57.71,48.24,72.53,56.61,99.13,84.69,30.49,65.62,29.24,99.13,,53.7,100.0,,50.46,68.19,68.19,17.03,31.14,0.0,0.0,53.7,56.35,37.9,38.37,59.09,55.03,40.37,85.76,80.78,55.03,53.4,18.6,0.0,54.1,79.5,71.44,100.0
Chiapas,Palenque,64.07,4.47,85.28,54.04,65.82,23.04,21.94,41.02,0.0,46.08,35.64,77.66,41.2,54.04,11.07,6.44,92.36,0.35,68.72,55.42,56.06,0.0,28.02,100.0,82.03,64.79,65.48,100.0,100.0,38.58,60.04,100.0,55.92,93.64,84.51,29.28,70.52,41.2,93.64,,22.82,100.0,,48.58,58.16,58.16,7.98,31.36,0.0,0.0,45.23,63.29,27.75,22.93,70.68,55.13,31.62,79.48,84.36,55.13,76.57,15.02,0.42,54.1,85.75,76.67,100.0
Chiapas,Pijijiapan,31.11,5.06,45.92,38.11,59.55,23.04,18.65,47.11,0.0,46.08,20.32,100.0,34.41,38.11,3.96,49.99,95.82,4.52,65.14,57.54,60.08,0.0,32.22,100.0,65.56,64.79,51.42,8.32,100.0,72.23,31.63,8.32,59.14,83.0,80.2,29.58,59.48,34.41,83.0,,37.55,100.0,,39.5,67.93,67.93,0.0,32.36,0.0,0.0,44.81,40.65,32.07,30.29,64.93,50.16,66.7,82.72,88.08,50.16,65.07,17.33,30.28,54.1,88.06,64.58,100.0
Chiapas,San Cristóbal de las Casas,52.62,16.54,94.5,57.94,63.4,23.04,26.33,33.93,0.0,46.08,41.45,100.0,50.54,57.94,35.07,47.21,79.61,10.2,68.61,66.18,62.67,0.0,29.66,100.0,76.31,64.79,68.79,99.6,96.97,62.0,58.17,99.6,64.58,92.87,83.31,35.32,78.06,50.54,92.87,,91.47,96.97,,54.02,48.58,48.58,13.53,45.14,0.0,0.0,91.47,69.38,51.91,57.25,51.05,60.06,38.8,87.21,73.42,60.06,37.31,25.38,0.0,54.1,82.65,87.0,100.0
Chiapas,Tapachula,55.22,12.81,54.54,56.45,52.89,42.86,49.16,34.3,82.5,46.08,39.48,100.0,65.24,56.45,29.81,53.89,85.18,33.09,69.09,78.41,72.89,100.0,32.64,100.0,28.68,62.66,62.0,29.52,89.85,73.33,39.96,29.52,64.56,93.39,81.25,28.13,66.27,65.24,93.39,,48.97,89.85,0.0,56.27,41.22,41.22,21.03,68.36,100.0,52.38,66.95,57.92,54.6,63.94,54.95,49.52,66.09,88.46,91.18,49.52,47.25,30.97,31.0,43.44,80.72,77.33,2.14
Chiapas,Tuxtla Gutiérrez,68.99,26.32,69.24,61.79,57.9,50.33,44.78,40.59,67.43,46.08,49.75,90.34,68.82,61.79,39.7,27.18,84.01,42.34,64.64,83.76,76.09,0.0,40.74,100.0,36.94,62.66,92.0,0.0,97.18,53.84,23.57,0.0,61.28,90.73,62.45,34.88,73.96,68.82,90.73,52.59,77.93,74.89,37.5,62.55,25.92,25.92,31.89,74.5,0.0,0.0,97.48,67.62,64.13,42.76,59.82,51.08,43.99,93.02,88.06,51.08,56.98,40.88,58.39,43.44,86.9,40.89,4.88
Chiapas,Venustiano Carranza,85.65,2.36,87.21,53.48,68.6,23.04,23.91,50.14,0.0,46.08,30.31,100.0,39.65,53.48,19.71,59.65,76.25,0.0,68.66,49.42,42.46,0.01,32.71,100.0,92.83,64.79,71.72,96.74,93.08,70.3,60.6,96.74,60.31,99.53,73.76,28.23,70.31,39.65,99.53,,68.33,93.08,,42.08,61.16,61.16,8.36,25.43,0.01,0.0,68.33,52.27,23.05,30.46,63.75,68.39,51.24,73.42,61.86,68.39,62.7,15.28,0.0,54.1,74.34,71.26,100.0
Chiapas,Villa Corzo,69.33,8.06,68.58,41.61,64.41,23.04,30.2,48.65,0.0,46.08,25.74,67.49,27.94,41.61,19.26,25.05,71.43,0.0,61.02,53.92,39.35,0.0,31.64,100.0,84.66,64.79,90.6,70.05,78.02,46.76,56.66,70.05,50.58,84.73,66.7,31.08,69.12,27.94,84.73,,69.01,78.02,,35.57,69.73,69.73,0.0,29.5,0.0,0.0,69.01,51.49,21.97,46.02,64.46,54.61,47.75,78.34,56.74,54.61,64.12,14.63,0.0,54.1,88.62,61.98,100.0
Chiapas,Villaflores,71.36,6.91,80.11,53.42,64.99,23.04,0.0,50.96,0.0,46.08,28.09,71.16,43.61,53.42,19.38,15.18,79.43,0.0,59.43,59.55,48.95,0.0,35.24,100.0,85.68,64.79,,100.0,71.54,41.83,54.28,100.0,51.92,67.33,75.72,30.5,72.11,43.61,67.33,,63.98,71.54,,43.48,62.83,62.83,10.3,35.21,0.0,0.0,63.98,45.88,31.18,43.51,61.68,53.06,39.15,83.89,66.71,53.06,58.56,19.51,0.0,54.1,88.94,72.02,100.0
