,Número,Año Cuenta Pública,Espacio público,Densidad poblacional,Tratamiento de aguas residuales,Tasa de homicidios,Superﬁcie destinada a vías,Participación electoral,MONTO_MODIFICADO,MONTO_COMPROMETIDO,MONTO_PAGADO,MONTO_EJERCIDO,MONTO_APROBADO,es_peña,desaparecido_bool
478,503,2014,42.7175,22.50875,57.99,59.4325,61.35875,57.07874999999999,25705518488.709995,22653077999.489983,22645335853.04998,22645335853.04998,25843255843.39,True,False
479,503,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
480,503,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,False
481,504,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
482,504,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,False
483,504,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
484,505,2014,34.142,17.694,80.092,47.794,68.824,33.714000000000006,378427283.24999994,323300045.23,317296555.65,317296555.65,363296403.24999994,True,False
485,505,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
486,505,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
487,505,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,True
488,506,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
489,506,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,False
490,506,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
491,507,2014,62.35981481481482,38.50759259259259,16.07944444444444,63.99333333333333,47.545185185185176,53.83166666666667,1381725900.7400002,1380273316.3600001,1369907209.99,1369907209.99,1381725900.7400002,True,True
492,507,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
493,507,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
494,507,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
495,508,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
496,508,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
497,508,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
498,509,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
499,509,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
500,510,2014,67.36714285714285,20.397142857142853,42.94142857142857,51.50428571428572,50.50714285714286,44.93857142857143,65484.58,65484.56,49484.56,49484.56,65484.58,True,True
501,510,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
502,510,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,False
503,510,2020,34.142,17.694,80.092,47.794,68.824,33.714000000000006,78056274322.44008,32972557383.970047,29597034943.650043,31264878630.260048,77191371998.51001,False,False
504,511,2014,34.142,17.694,80.092,47.794,68.824,33.714000000000006,378427283.24999994,323300045.23,317296555.65,317296555.65,363296403.24999994,True,False
505,511,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
506,511,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,False
507,512,2014,42.7175,22.50875,57.99,59.4325,61.35875,57.07874999999999,25705518488.709995,22653077999.489983,22645335853.04998,22645335853.04998,25843255843.39,True,True
508,512,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
509,512,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
510,513,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
511,513,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
512,514,2014,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,5970577243.320002,5942743264.170002,5942442854.540003,5942444959.5700035,5799367439.05,True,False
513,514,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
514,514,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,False
515,514,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
516,515,2014,65.08588235294118,21.28411764705882,51.07999999999999,47.128235294117644,55.58470588235294,41.67823529411765,9334965497.879995,8224927411.739999,8144580783.6100025,8146613907.160002,8448952869.900002,True,False
517,515,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
518,515,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,False
519,515,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,True
520,516,2014,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,5970577243.320002,5942743264.170002,5942442854.540003,5942444959.5700035,5799367439.05,True,False
521,516,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,True
522,516,2018,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,21512991860.149937,20101396827.77996,19654280338.749977,19684515298.30997,20173762220.59004,True,False
523,516,2019,37.25,25.384999999999998,73.745,48.0,80.065,49.825,51702236338.09998,33602228985.40006,31779928401.800053,31993647365.290043,50654647061.09007,False,False
524,517,2014,41.496249999999996,31.598124999999996,57.595,57.09812500000002,59.640625,56.43750000000001,825995518.8399997,824455282.24,816912215.4599996,819245149.7199998,828237677.8399997,True,False
525,517,2016,53.800000000000004,21.936666666666667,71.83666666666666,57.96333333333334,74.30666666666666,48.526666666666664,9107607071.680012,8968458397.22001,8434246222.170013,8486125952.300014,8943715018.44,True,False
